"","GEOID","B01003_001 POP","B19013_001 INCOME","B02001_002 RACE_W","B02001_003 RACE_B","B08134_111 CM_BIKE","B08134_011 CM_CAR","B08134_061 CM_PUB","B08134_101 CM_WALK","B08016_001 WORKERS16","ctract"
"333","42101035301",5550,79434,4931,89,41,2516,126,17,2749,"035301"
"334","42101035302",4516,54739,3854,424,43,1729,235,25,2100,"035302"
"335","42101035500",7948,56042,5687,754,138,2678,674,105,3596,"035500"
"336","42101035601",5272,52673,4188,140,0,1896,251,66,2235,"035601"
"337","42101035602",3661,81912,2796,73,36,1512,204,21,1789,"035602"
"338","42101035701",4931,35246,2770,301,86,1800,247,81,2221,"035701"
"339","42101035702",4158,43047,2976,43,71,1642,50,76,1839,"035702"
"340","42101035800",6806,61389,5272,153,114,2387,201,44,2839,"035800"
"341","42101035900",5548,63426,3967,101,8,2491,70,10,2579,"035900"
"342","42101036000",3472,59219,1954,399,15,1221,178,21,1485,"036000"
"343","42101036100",4049,59010,2741,838,50,1676,209,0,1964,"036100"
"344","42101036201",5153,74360,4548,308,0,2516,185,14,2754,"036201"
"345","42101036202",6239,65049,5298,425,73,2653,231,16,3037,"036202"
"346","42101036203",5111,76807,4675,155,26,2122,82,42,2320,"036203"
"347","42101036301",3969,63909,3198,13,30,1469,188,101,1847,"036301"
"348","42101036302",3705,55313,2691,836,39,1154,319,85,1712,"036302"
"349","42101036303",6592,78250,6002,446,21,2968,237,33,3338,"036303"
"350","42101036400",1037,66375,819,133,15,257,8,17,313,"036400"
"351","42101036501",5331,54920,4258,594,48,2428,180,44,2700,"036501"
"352","42101036502",4213,101875,3724,7,23,1845,266,28,2188,"036502"
"353","42101036600",2604,125921,1893,137,51,999,359,188,1814,"036600"
"354","42101036700",3612,132545,2953,302,153,1324,632,248,2648,"036700"
"355","42101036900",5889,28099,3376,842,51,439,238,1048,2072,"036900"
"356","42101037200",4702,56656,2679,483,67,1363,721,173,2377,"037200"
"357","42101037300",5759,82230,4684,584,37,1995,774,50,2966,"037300"
"358","42101037500",3736,75566,1784,1579,0,1029,190,86,1417,"037500"
"359","42101037600",3287,75098,1540,622,110,702,422,560,1866,"037600"
"360","42101037700",5313,22689,2104,2215,80,676,536,395,1738,"037700"
"361","42101037800",2474,59958,2231,142,132,865,162,67,1311,"037800"
"362","42101037900",5006,60136,4797,6,153,1846,364,110,2503,"037900"
"363","42101038000",2431,40792,1749,230,24,613,135,27,805,"038000"
"364","42101038100",845,32120,548,178,11,208,27,25,286,"038100"
"365","42101038200",3067,29308,1799,739,0,611,197,30,893,"038200"
"366","42101038300",3352,20972,795,1364,45,591,208,21,877,"038300"
"367","42101038400",2484,82315,2122,241,33,1039,113,20,1238,"038400"
"368","42101038500",1830,90188,1522,95,31,525,105,68,803,"038500"
"369","42101038600",1395,133036,1123,186,6,446,129,7,692,"038600"
"370","42101038700",2816,143646,2124,432,38,627,330,140,1331,"038700"
"371","42101038800",3636,78036,2291,986,26,1294,393,48,1996,"038800"
"372","42101038900",3251,33777,182,2938,0,744,225,57,1049,"038900"
"373","42101039000",8641,29613,1906,5356,123,2073,504,128,3000,"039000"
"374","42101980000",416,70833,263,98,10,36,30,47,123,"980000"
"375","42101980100",40,NA,25,0,6,10,0,4,24,"980100"
"376","42101980200",554,99375,496,47,0,72,22,14,116,"980200"
"377","42101980300",0,NA,0,0,0,0,0,0,0,"980300"
"378","42101980400",0,NA,0,0,0,0,0,0,0,"980400"
"379","42101980500",0,NA,0,0,0,0,0,0,0,"980500"
"380","42101980600",0,NA,0,0,0,0,0,0,0,"980600"
"381","42101980700",0,NA,0,0,0,0,0,0,0,"980700"
"382","42101980800",0,NA,0,0,0,0,0,0,0,"980800"
"383","42101980900",0,NA,0,0,0,0,0,0,0,"980900"
"384","42101989100",1811,NA,267,1343,0,0,10,0,10,"989100"
