STREET,INTERSECTI,ADDRESS,LONG.,LAT.
OLD YORK RD,CHAMPLOST AV,OLD YORK RD & W CHAMPLOST AVE,-75.14461351540,40.04456250370
OGONTZ AV,76TH AV,OGONTZ AVE & 76TH AVE,-75.15716662590,40.06996441960
CB MOORE AV,12TH ST,CECIL B MOORE AVE & N 12TH ST,-75.15415368690,39.97816724600
33RD ST,DAUPHIN ST,N 33RD ST & W DAUPHIN ST,-75.18637221390,39.99177817140
33RD ST,DIAMOND ST,N 33RD ST & DIAMOND ST,-75.18706037690,39.98866643370
RIDGE AV,CUMBERLAND RD,RIDGE AVE & W CUMBERLAND DR,-75.18726166640,39.99494822340
OLD YORK RD,STENTON AV,OLD YORK RD & STENTON AVE,-75.14495947150,40.04868190690
BROAD ST,TIOGA ST,N BROAD ST & W TIOGA ST,-75.15192156210,40.00616852260
22ND ST,SOMERSET ST,N 22ND ST & W SOMERSET ST,-75.16721631640,39.99719844830
22ND ST,FOX ST,N 22ND ST & FOX ST,-75.16652846710,40.00040377660
22ND ST,INDIANA AV,N 22ND ST & W INDIANA AVE,-75.16656379910,40.00020076950
22ND ST,CAMBRIA ST,N 22ND ST & W CAMBRIA ST,-75.16689588060,39.99868933720
BROAD ST,MONTGOMERY AV,N BROAD ST & W MONTGOMERY AVE,-75.15758279740,39.98022419360
BROAD ST,BERKS ST,N BROAD ST & W BERKS ST,-75.15725547390,39.98169482010
BROAD ST,RISING SUN AV,N BROAD ST & RISING SUN AVE,-75.15255074900,40.00318283650
LEHIGH AV,GERMANTOWN AV,W LEHIGH AVE & GERMANTOWN AVE,-75.14788703690,39.99307987900
BROAD ST,NORRIS ST,N BROAD ST & W NORRIS ST,-75.15691577820,39.98322097100
BROAD ST,RUSCOMB ST,N BROAD ST & W RUSCOMB ST,-75.14691352340,40.02914516670
HUNTING PARK AV,STOKLEY ST,W HUNTING PARK AVE & STOKLEY ST,-75.17035734010,40.00840786540
BROAD ST,ROCKLAND ST,N BROAD ST & W ROCKLAND ST,-75.14721962620,40.02764514310
BROAD ST,ROCKLAND ST,N BROAD ST & W ROCKLAND ST,-75.14721962620,40.02764514310
LEHIGH AV,LAWRENCE ST,W LEHIGH AVE & N LAWRENCE ST,-75.13926139020,39.99197058110
CB MOORE AV,BROAD ST,CECIL B MOORE AVE & N BROAD ST,-75.15791562840,39.97870886250
BROAD ST,CB MOORE AV,N BROAD ST & CECIL B MOORE AVE,-75.15791562840,39.97870886250
