"","start_station","start_station_name","start_lat","start_lon","start_station_volume","start_station_use"
"109","3155","7th & Fitzwater",39.940182,-75.154419,17443,"fair utilization"
"110","3156","20th & Market",39.953812,-75.174072,23173,"fair utilization"
"111","3157","8th & Mifflin, Bok Building",39.925449,-75.159538,10393,"underutilized"
"112","3158","Broad & Passyunk",39.925522,-75.169037,12106,"underutilized"
"113","3159","38th & Spruce",39.95121,-75.199623,12702,"underutilized"
"114","3160","38th & Market",39.95662,-75.19862,14822,"underutilized"
"115","3161","30th Street Station East",39.954861,-75.180908,18899,"fair utilization"
"116","3162","27th & South",39.94595,-75.184753,15415,"fair utilization"
"117","3163","25th & Locust",39.949741,-75.180969,28125,"adequate utilization"
"118","3164","12th & Passyunk",39.92814,-75.16515,10408,"underutilized"
"119","3165","24th & Race SRT",39.958191,-75.1782,15521,"fair utilization"
"120","3166","Frankford & Belgrade",39.97235,-75.13445,7327,"underutilized"
"121","3167","12th & Chestnut",39.950249,-75.160278,29181,"adequate utilization"
"122","3168","20th & Sansom",39.95121,-75.173698,63036,"max utilization"
"123","3169","2nd & Race",39.953819,-75.142632,13857,"underutilized"
"124","3170","Grays Ferry & Pemberton",39.94426,-75.181343,17587,"fair utilization"
"125","3181","Crescent Park",39.89629,-75.17514,2074,"underutilized"
"126","3182","17th & Sansom",39.95081,-75.16953,18021,"fair utilization"
"127","3183","15th & Kitty Hawk",39.88994,-75.17679,2135,"underutilized"
"128","3184","Health Sciences Drive",39.94573,-75.19551,4996,"underutilized"
"129","3185","11th & Market",39.95169,-75.15888,36540,"adequate utilization"
"130","3187","20th & Race",39.95725,-75.17232,9556,"underutilized"
"131","3188","Broad & Pattison, BSL",39.90471,-75.1734,4834,"underutilized"
"132","3190","17th & Locust",39.94892,-75.16991,29129,"adequate utilization"
"133","3192","2nd & Fairmount",39.96207,-75.14111,9229,"underutilized"
"134","3195","18th & JFK Curbside",39.9541,-75.16965,10091,"underutilized"
"135","3196","25th & Diamond",39.98717,-75.17477,2264,"underutilized"
"136","3197","Broad & Ritner",39.92083,-75.17033,8186,"underutilized"
"137","3200","Ridge & Master",39.97583,-75.16846,3058,"underutilized"
"138","3201","16th & Arch",39.95523,-75.1662,4102,"underutilized"
"139","3202","16th & Chestnut",39.95134,-75.16758,13392,"underutilized"
"140","3203","18th & Christian",39.94077,-75.17227,6095,"underutilized"
"141","3204","17th & Green",39.96437,-75.16582,3934,"underutilized"
"142","3205","17th & JFK",39.95405,-75.16783,4137,"underutilized"
"143","3206","18th & Chestnut",39.95174,-75.17063,8546,"underutilized"
"144","3207","34th & Chestnut",39.95441,-75.192,4017,"underutilized"
"145","3208","34th & Spruce",39.95048,-75.19324,10759,"underutilized"
"146","3209","45th & Baltimore",39.949,-75.21278,4777,"underutilized"
"147","3210","Broad & Diamond",39.98492,-75.15668,5857,"underutilized"
"148","3211","Corinthian & Poplar",39.97172,-75.1706,1801,"underutilized"
"149","3212","Schuylkill Banks Pergola",39.96379,-75.18158,11425,"underutilized"
"150","3213","Broad & Carpenter",39.93887,-75.16663,1613,"underutilized"
"151","3214","Broad & Cecil B Moore",39.97891,-75.1578,557,"underutilized"
"152","3186","12th & Normandy",39.89307,-75.17168,2239,"underutilized"
"153","3105","Penn Treaty Park",39.96207,-75.14111,23,"underutilized"
"154","3226","2nd & Norris",39.98101,-75.13721,2,"underutilized"
