"","start_station","end_station","volume"
"11084","The Children's Hospital of Philadelphia (CHOP)","34th & Chestnut",25
"11085","The Children's Hospital of Philadelphia, Osler Circle","34th & Chestnut",10
"11086","Thompson & Palmer, Adaire School","34th & Chestnut",0
"11087","University City Station","34th & Chestnut",35
"11088","Welcome Park, NPS","34th & Chestnut",5
"11089","10th & Chestnut","34th & Mantua",2
"11090","10th & Federal","34th & Mantua",0
"11091","11th & Market","34th & Mantua",32
"11092","11th & Pine, Kahn Park","34th & Mantua",11
"11093","11th & Poplar, John F. Street Community Center","34th & Mantua",11
"11094","11th & Reed","34th & Mantua",3
"11095","11th & South","34th & Mantua",14
"11096","11th & Washington","34th & Mantua",2
"11097","12th & Callowhill","34th & Mantua",4
"11098","12th & Chestnut","34th & Mantua",18
"11099","12th & Filbert","34th & Mantua",42
"11100","12th & Normandy","34th & Mantua",0
"11101","12th & Passyunk","34th & Mantua",0
"11102","13th & Locust","34th & Mantua",21
"11103","13th & Montgomery","34th & Mantua",7
"11104","15th & Castle, DiSilvestro Playground","34th & Mantua",0
"11105","15th & Kitty Hawk","34th & Mantua",0
"11106","15th & Market","34th & Mantua",62
"11107","15th & South","34th & Mantua",3
"11108","15th & Spruce","34th & Mantua",4
"11109","16th & Arch","34th & Mantua",0
"11110","16th & Chestnut","34th & Mantua",10
"11111","17th & Girard","34th & Mantua",6
"11112","17th & Green","34th & Mantua",8
"11113","17th & JFK","34th & Mantua",4
"11114","17th & Locust","34th & Mantua",7
"11115","17th & Pine","34th & Mantua",4
"11116","17th & Sansom","34th & Mantua",78
"11117","17th & Spring Garden","34th & Mantua",10
"11118","18th & Chestnut","34th & Mantua",3
"11119","18th & Christian","34th & Mantua",0
"11120","18th & Fernon, Aquinas Center","34th & Mantua",2
"11121","18th & JFK","34th & Mantua",28
"11122","18th & JFK Curbside","34th & Mantua",6
"11123","18th & Washington, Chew Playground","34th & Mantua",6
"11124","19th & Girard, PTTI","34th & Mantua",4
"11125","19th & Lombard","34th & Mantua",5
"11126","19th & Market","34th & Mantua",31
"11127","20th & Fairmount","34th & Mantua",13
"11128","20th & Market","34th & Mantua",26
"11129","20th & Race","34th & Mantua",4
"11130","20th & Sansom","34th & Mantua",36
"11131","21st & Catharine","34th & Mantua",7
"11132","21st & Winter, Franklin Institute","34th & Mantua",6
"11133","22nd & Cecil B. Moore","34th & Mantua",7
"11134","22nd & Federal","34th & Mantua",0
"11135","23rd & Fairmount","34th & Mantua",12
"11136","23rd & Market","34th & Mantua",37
"11137","23rd & South","34th & Mantua",9
"11138","24th & Cecil B. Moore, Cecil B. Moore Library","34th & Mantua",0
"11139","24th & Race SRT","34th & Mantua",13
"11140","24th & Sansom","34th & Mantua",5
"11141","25th & Diamond","34th & Mantua",2
"11142","25th & Locust","34th & Mantua",19
"11143","27th & Girard","34th & Mantua",26
"11144","27th & Master, Athletic Recreation Center","34th & Mantua",6
"11145","27th & South","34th & Mantua",1
"11146","29th & Dauphin","34th & Mantua",4
"11147","29th & Diamond","34th & Mantua",0
"11148","2nd & Fairmount","34th & Mantua",1
"11149","2nd & Germantown","34th & Mantua",0
"11150","2nd & Market","34th & Mantua",6
"11151","2nd & Norris","34th & Mantua",0
"11152","2nd & Race","34th & Mantua",4
"11153","2nd & South","34th & Mantua",0
"11154","30th Street Station East","34th & Mantua",30
"11155","31st & Girard","34th & Mantua",120
"11156","32nd & Baring, Drexel Park","34th & Mantua",112
"11157","33rd & Dauphin","34th & Mantua",25
"11158","33rd & Diamond","34th & Mantua",9
"11159","33rd & Market","34th & Mantua",230
"11160","33rd & Reservoir","34th & Mantua",80
"11161","34th & Chestnut","34th & Mantua",22
"11162","34th & Mantua","34th & Mantua",468
"11163","34th & Spruce","34th & Mantua",13
"11164","36th & Sansom","34th & Mantua",47
"11165","38th & Market","34th & Mantua",36
"11166","38th & Powelton","34th & Mantua",122
"11167","38th & Spruce","34th & Mantua",15
"11168","39th & Mt. Vernon, Mantua Haverford Community Center","34th & Mantua",44
"11169","3rd & Girard","34th & Mantua",0
"11170","40th & Baltimore, Trolley Portal","34th & Mantua",3
"11171","40th & Spruce","34th & Mantua",22
"11172","40th Street Station, MFL","34th & Mantua",32
"11173","42nd & Lancaster","34th & Mantua",116
"11174","43rd & Chester, Clark Park","34th & Mantua",9
"11175","44th & Walnut","34th & Mantua",12
"11176","45th & Baltimore","34th & Mantua",7
"11177","46th Street Station, MFL","34th & Mantua",30
"11178","48th & Spruce","34th & Mantua",29
"11179","4th & Bainbridge","34th & Mantua",3
"11180","4th & Christian","34th & Mantua",0
"11181","4th & Walnut, NPS","34th & Mantua",4
"11182","4th & Washington","34th & Mantua",1
"11183","6th & Berks","34th & Mantua",1
"11184","6th & Fairmount","34th & Mantua",1
"11185","6th & Race","34th & Mantua",0
"11186","7th & Fitzwater","34th & Mantua",2
"11187","8th & Market","34th & Mantua",7
"11188","8th & Mifflin, Bok Building","34th & Mantua",4
"11189","9th & Arch","34th & Mantua",2
"11190","9th & Locust","34th & Mantua",16
"11191","9th & Spring Garden","34th & Mantua",5
"11192","Amtrak 30th Street Station","34th & Mantua",53
"11193","Barnes Foundation","34th & Mantua",9
"11194","Berks Station, MFL","34th & Mantua",0
"11195","Broad & Carpenter","34th & Mantua",0
"11196","Broad & Cecil B Moore","34th & Mantua",0
"11197","Broad & Christian","34th & Mantua",3
"11198","Broad & Diamond","34th & Mantua",3
"11199","Broad & Federal","34th & Mantua",3
"11200","Broad & Girard","34th & Mantua",32
"11201","Broad & Oxford","34th & Mantua",290
"11202","Broad & Passyunk","34th & Mantua",0
"11203","Broad & Pattison, BSL","34th & Mantua",0
"11204","Broad & Ritner","34th & Mantua",0
"11205","Corinthian & Poplar","34th & Mantua",1
"11206","Crescent Park","34th & Mantua",0
"11207","Darien & Catharine","34th & Mantua",0
"11208","Del. River Trail & Penn St.","34th & Mantua",2
"11209","Dornsife Center","34th & Mantua",99
"11210","Fairmount & Ridge","34th & Mantua",23
"11211","Foglietta Plaza","34th & Mantua",4
"11212","Frankford & Belgrade","34th & Mantua",1
"11213","Free Library of Philadelphia - Central Library","34th & Mantua",3
"11214","Front & Carpenter","34th & Mantua",1
"11215","Girard & Hutchinson","34th & Mantua",2
"11216","Girard Station, MFL","34th & Mantua",0
"11217","Grays Ferry & Pemberton","34th & Mantua",3
"11218","Health Sciences Drive","34th & Mantua",8
"11219","Independence Mall, NPS","34th & Mantua",6
"11220","Moyamensing & Tasker","34th & Mantua",0
"11221","Municipal Services Building Plaza","34th & Mantua",12
"11222","Parkside & Belmont, Case Building","34th & Mantua",37
"11223","ParkWest Town Center","34th & Mantua",13
"11224","Penn Treaty Park","34th & Mantua",0
"11225","Pennsylvania & Fairmount Perelman Building","34th & Mantua",20
"11226","Pennsylvania Convention Center","34th & Mantua",24
"11227","Philadelphia Museum of Art","34th & Mantua",237
"11228","Philadelphia Zoo","34th & Mantua",57
"11229","Point Breeze & Tasker","34th & Mantua",3
"11230","Race Street Pier","34th & Mantua",2
"11231","Ridge & Master","34th & Mantua",2
"11232","Rittenhouse Square","34th & Mantua",7
"11233","Rodin Museum","34th & Mantua",36
"11234","Schuylkill Banks Pergola","34th & Mantua",16
"11235","Spring Garden Station, BSL","34th & Mantua",40
"11236","Spring Garden Station, MFL","34th & Mantua",4
"11237","Temple University Station","34th & Mantua",3
"11238","The Children's Hospital of Philadelphia (CHOP)","34th & Mantua",203
"11239","The Children's Hospital of Philadelphia, Osler Circle","34th & Mantua",18
"11240","Thompson & Palmer, Adaire School","34th & Mantua",0
"11241","University City Station","34th & Mantua",10
"11242","Welcome Park, NPS","34th & Mantua",0
"11243","10th & Chestnut","34th & Spruce",20
"11244","10th & Federal","34th & Spruce",9
"11245","11th & Market","34th & Spruce",46
"11246","11th & Pine, Kahn Park","34th & Spruce",167
"11247","11th & Poplar, John F. Street Community Center","34th & Spruce",0
"11248","11th & Reed","34th & Spruce",72
"11249","11th & South","34th & Spruce",236
"11250","11th & Washington","34th & Spruce",56
"11251","12th & Callowhill","34th & Spruce",6
"11252","12th & Chestnut","34th & Spruce",77
"11253","12th & Filbert","34th & Spruce",11
"11254","12th & Normandy","34th & Spruce",1
"11255","12th & Passyunk","34th & Spruce",14
"11256","13th & Locust","34th & Spruce",87
"11257","13th & Montgomery","34th & Spruce",11
"11258","15th & Castle, DiSilvestro Playground","34th & Spruce",20
"11259","15th & Kitty Hawk","34th & Spruce",0
"11260","15th & Market","34th & Spruce",23
"11261","15th & South","34th & Spruce",274
"11262","15th & Spruce","34th & Spruce",216
"11263","16th & Arch","34th & Spruce",12
"11264","16th & Chestnut","34th & Spruce",30
"11265","17th & Girard","34th & Spruce",0
"11266","17th & Green","34th & Spruce",7
"11267","17th & JFK","34th & Spruce",16
"11268","17th & Locust","34th & Spruce",288
"11269","17th & Pine","34th & Spruce",131
"11270","17th & Sansom","34th & Spruce",74
"11271","17th & Spring Garden","34th & Spruce",120
"11272","18th & Chestnut","34th & Spruce",75
"11273","18th & Christian","34th & Spruce",154
"11274","18th & Fernon, Aquinas Center","34th & Spruce",27
"11275","18th & JFK","34th & Spruce",25
"11276","18th & JFK Curbside","34th & Spruce",2
"11277","18th & Washington, Chew Playground","34th & Spruce",49
"11278","19th & Girard, PTTI","34th & Spruce",0
"11279","19th & Lombard","34th & Spruce",311
"11280","19th & Market","34th & Spruce",95
"11281","20th & Fairmount","34th & Spruce",90
"11282","20th & Market","34th & Spruce",108
"11283","20th & Race","34th & Spruce",36
"11284","20th & Sansom","34th & Spruce",700
"11285","21st & Catharine","34th & Spruce",327
"11286","21st & Winter, Franklin Institute","34th & Spruce",8
"11287","22nd & Cecil B. Moore","34th & Spruce",0
"11288","22nd & Federal","34th & Spruce",37
"11289","23rd & Fairmount","34th & Spruce",41
"11290","23rd & Market","34th & Spruce",202
"11291","23rd & South","34th & Spruce",503
"11292","24th & Cecil B. Moore, Cecil B. Moore Library","34th & Spruce",0
"11293","24th & Race SRT","34th & Spruce",253
"11294","24th & Sansom","34th & Spruce",384
"11295","25th & Diamond","34th & Spruce",1
"11296","25th & Locust","34th & Spruce",409
"11297","27th & Girard","34th & Spruce",72
"11298","27th & Master, Athletic Recreation Center","34th & Spruce",0
"11299","27th & South","34th & Spruce",174
"11300","29th & Dauphin","34th & Spruce",4
"11301","29th & Diamond","34th & Spruce",0
"11302","2nd & Fairmount","34th & Spruce",5
"11303","2nd & Germantown","34th & Spruce",0
"11304","2nd & Market","34th & Spruce",60
"11305","2nd & Norris","34th & Spruce",0
"11306","2nd & Race","34th & Spruce",52
"11307","2nd & South","34th & Spruce",14
"11308","30th Street Station East","34th & Spruce",49
"11309","31st & Girard","34th & Spruce",108
"11310","32nd & Baring, Drexel Park","34th & Spruce",46
"11311","33rd & Dauphin","34th & Spruce",0
"11312","33rd & Diamond","34th & Spruce",0
"11313","33rd & Market","34th & Spruce",59
"11314","33rd & Reservoir","34th & Spruce",2
"11315","34th & Chestnut","34th & Spruce",66
"11316","34th & Mantua","34th & Spruce",18
"11317","34th & Spruce","34th & Spruce",372
"11318","36th & Sansom","34th & Spruce",179
"11319","38th & Market","34th & Spruce",214
"11320","38th & Powelton","34th & Spruce",102
"11321","38th & Spruce","34th & Spruce",259
"11322","39th & Mt. Vernon, Mantua Haverford Community Center","34th & Spruce",3
"11323","3rd & Girard","34th & Spruce",1
"11324","40th & Baltimore, Trolley Portal","34th & Spruce",80
"11325","40th & Spruce","34th & Spruce",319
"11326","40th Street Station, MFL","34th & Spruce",24
"11327","42nd & Lancaster","34th & Spruce",24
"11328","43rd & Chester, Clark Park","34th & Spruce",104
"11329","44th & Walnut","34th & Spruce",203
"11330","45th & Baltimore","34th & Spruce",88
"11331","46th Street Station, MFL","34th & Spruce",16
"11332","48th & Spruce","34th & Spruce",131
"11333","4th & Bainbridge","34th & Spruce",73
"11334","4th & Christian","34th & Spruce",159
"11335","4th & Walnut, NPS","34th & Spruce",74
"11336","4th & Washington","34th & Spruce",7
"11337","6th & Berks","34th & Spruce",0
"11338","6th & Fairmount","34th & Spruce",2
"11339","6th & Race","34th & Spruce",0
"11340","7th & Fitzwater","34th & Spruce",163
"11341","8th & Market","34th & Spruce",6
"11342","8th & Mifflin, Bok Building","34th & Spruce",4
"11343","9th & Arch","34th & Spruce",16
"11344","9th & Locust","34th & Spruce",91
"11345","9th & Spring Garden","34th & Spruce",2
"11346","Amtrak 30th Street Station","34th & Spruce",148
"11347","Barnes Foundation","34th & Spruce",25
"11348","Berks Station, MFL","34th & Spruce",12
"11349","Broad & Carpenter","34th & Spruce",4
"11350","Broad & Cecil B Moore","34th & Spruce",0
"11351","Broad & Christian","34th & Spruce",125
"11352","Broad & Diamond","34th & Spruce",2
"11353","Broad & Federal","34th & Spruce",14
"11354","Broad & Girard","34th & Spruce",1
"11355","Broad & Oxford","34th & Spruce",1
"11356","Broad & Passyunk","34th & Spruce",16
"11357","Broad & Pattison, BSL","34th & Spruce",0
"11358","Broad & Ritner","34th & Spruce",2
"11359","Corinthian & Poplar","34th & Spruce",1
"11360","Crescent Park","34th & Spruce",0
"11361","Darien & Catharine","34th & Spruce",43
"11362","Del. River Trail & Penn St.","34th & Spruce",0
"11363","Dornsife Center","34th & Spruce",102
"11364","Fairmount & Ridge","34th & Spruce",23
"11365","Foglietta Plaza","34th & Spruce",1
"11366","Frankford & Belgrade","34th & Spruce",21
"11367","Free Library of Philadelphia - Central Library","34th & Spruce",39
"11368","Front & Carpenter","34th & Spruce",6
"11369","Girard & Hutchinson","34th & Spruce",2
"11370","Girard Station, MFL","34th & Spruce",0
"11371","Grays Ferry & Pemberton","34th & Spruce",422
"11372","Health Sciences Drive","34th & Spruce",16
"11373","Independence Mall, NPS","34th & Spruce",10
"11374","Moyamensing & Tasker","34th & Spruce",3
"11375","Municipal Services Building Plaza","34th & Spruce",4
"11376","Parkside & Belmont, Case Building","34th & Spruce",4
"11377","ParkWest Town Center","34th & Spruce",6
"11378","Penn Treaty Park","34th & Spruce",0
"11379","Pennsylvania & Fairmount Perelman Building","34th & Spruce",97
"11380","Pennsylvania Convention Center","34th & Spruce",13
"11381","Philadelphia Museum of Art","34th & Spruce",138
"11382","Philadelphia Zoo","34th & Spruce",3
"11383","Point Breeze & Tasker","34th & Spruce",59
"11384","Race Street Pier","34th & Spruce",4
"11385","Ridge & Master","34th & Spruce",1
"11386","Rittenhouse Square","34th & Spruce",0
"11387","Rodin Museum","34th & Spruce",152
"11388","Schuylkill Banks Pergola","34th & Spruce",23
"11389","Spring Garden Station, BSL","34th & Spruce",62
"11390","Spring Garden Station, MFL","34th & Spruce",0
"11391","Temple University Station","34th & Spruce",0
"11392","The Children's Hospital of Philadelphia (CHOP)","34th & Spruce",34
"11393","The Children's Hospital of Philadelphia, Osler Circle","34th & Spruce",22
"11394","Thompson & Palmer, Adaire School","34th & Spruce",2
"11395","University City Station","34th & Spruce",42
"11396","Welcome Park, NPS","34th & Spruce",4
"11397","10th & Chestnut","36th & Sansom",82
"11398","10th & Federal","36th & Sansom",137
"11399","11th & Market","36th & Sansom",106
"11400","11th & Pine, Kahn Park","36th & Sansom",225
"11401","11th & Poplar, John F. Street Community Center","36th & Sansom",0
"11402","11th & Reed","36th & Sansom",185
"11403","11th & South","36th & Sansom",145
"11404","11th & Washington","36th & Sansom",30
"11405","12th & Callowhill","36th & Sansom",84
"11406","12th & Chestnut","36th & Sansom",77
"11407","12th & Filbert","36th & Sansom",80
"11408","12th & Normandy","36th & Sansom",2
"11409","12th & Passyunk","36th & Sansom",36
"11410","13th & Locust","36th & Sansom",172
"11411","13th & Montgomery","36th & Sansom",13
"11412","15th & Castle, DiSilvestro Playground","36th & Sansom",21
"11413","15th & Kitty Hawk","36th & Sansom",0
"11414","15th & Market","36th & Sansom",121
"11415","15th & South","36th & Sansom",105
"11416","15th & Spruce","36th & Sansom",483
"11417","16th & Arch","36th & Sansom",7
"11418","16th & Chestnut","36th & Sansom",65
"11419","17th & Girard","36th & Sansom",1
"11420","17th & Green","36th & Sansom",4
"11421","17th & JFK","36th & Sansom",12
"11422","17th & Locust","36th & Sansom",502
"11423","17th & Pine","36th & Sansom",201
"11424","17th & Sansom","36th & Sansom",267
"11425","17th & Spring Garden","36th & Sansom",91
"11426","18th & Chestnut","36th & Sansom",89
"11427","18th & Christian","36th & Sansom",17
"11428","18th & Fernon, Aquinas Center","36th & Sansom",58
"11429","18th & JFK","36th & Sansom",161
"11430","18th & JFK Curbside","36th & Sansom",32
"11431","18th & Washington, Chew Playground","36th & Sansom",90
"11432","19th & Girard, PTTI","36th & Sansom",8
"11433","19th & Lombard","36th & Sansom",263
"11434","19th & Market","36th & Sansom",352
"11435","20th & Fairmount","36th & Sansom",105
"11436","20th & Market","36th & Sansom",295
"11437","20th & Race","36th & Sansom",35
"11438","20th & Sansom","36th & Sansom",1718
"11439","21st & Catharine","36th & Sansom",567
"11440","21st & Winter, Franklin Institute","36th & Sansom",11
"11441","22nd & Cecil B. Moore","36th & Sansom",2
"11442","22nd & Federal","36th & Sansom",240
"11443","23rd & Fairmount","36th & Sansom",149
"11444","23rd & Market","36th & Sansom",341
"11445","23rd & South","36th & Sansom",646
"11446","24th & Cecil B. Moore, Cecil B. Moore Library","36th & Sansom",0
"11447","24th & Race SRT","36th & Sansom",129
"11448","24th & Sansom","36th & Sansom",522
"11449","25th & Diamond","36th & Sansom",0
"11450","25th & Locust","36th & Sansom",271
"11451","27th & Girard","36th & Sansom",48
"11452","27th & Master, Athletic Recreation Center","36th & Sansom",1
"11453","27th & South","36th & Sansom",352
"11454","29th & Dauphin","36th & Sansom",1
"11455","29th & Diamond","36th & Sansom",0
"11456","2nd & Fairmount","36th & Sansom",6
"11457","2nd & Germantown","36th & Sansom",0
"11458","2nd & Market","36th & Sansom",46
"11459","2nd & Norris","36th & Sansom",0
"11460","2nd & Race","36th & Sansom",19
"11461","2nd & South","36th & Sansom",33
"11462","30th Street Station East","36th & Sansom",94
"11463","31st & Girard","36th & Sansom",111
"11464","32nd & Baring, Drexel Park","36th & Sansom",154
"11465","33rd & Dauphin","36th & Sansom",9
"11466","33rd & Diamond","36th & Sansom",1
"11467","33rd & Market","36th & Sansom",198
"11468","33rd & Reservoir","36th & Sansom",17
"11469","34th & Chestnut","36th & Sansom",74
"11470","34th & Mantua","36th & Sansom",94
"11471","34th & Spruce","36th & Sansom",99
"11472","36th & Sansom","36th & Sansom",1091
"11473","38th & Market","36th & Sansom",336
"11474","38th & Powelton","36th & Sansom",614
"11475","38th & Spruce","36th & Sansom",238
"11476","39th & Mt. Vernon, Mantua Haverford Community Center","36th & Sansom",47
"11477","3rd & Girard","36th & Sansom",9
"11478","40th & Baltimore, Trolley Portal","36th & Sansom",119
"11479","40th & Spruce","36th & Sansom",471
"11480","40th Street Station, MFL","36th & Sansom",325
"11481","42nd & Lancaster","36th & Sansom",161
"11482","43rd & Chester, Clark Park","36th & Sansom",346
"11483","44th & Walnut","36th & Sansom",709
"11484","45th & Baltimore","36th & Sansom",56
"11485","46th Street Station, MFL","36th & Sansom",149
"11486","48th & Spruce","36th & Sansom",154
"11487","4th & Bainbridge","36th & Sansom",136
"11488","4th & Christian","36th & Sansom",30
"11489","4th & Walnut, NPS","36th & Sansom",45
"11490","4th & Washington","36th & Sansom",115
"11491","6th & Berks","36th & Sansom",0
"11492","6th & Fairmount","36th & Sansom",17
"11493","6th & Race","36th & Sansom",17
"11494","7th & Fitzwater","36th & Sansom",140
"11495","8th & Market","36th & Sansom",49
"11496","8th & Mifflin, Bok Building","36th & Sansom",10
"11497","9th & Arch","36th & Sansom",57
"11498","9th & Locust","36th & Sansom",100
"11499","9th & Spring Garden","36th & Sansom",10
"11500","Amtrak 30th Street Station","36th & Sansom",464
"11501","Barnes Foundation","36th & Sansom",40
"11502","Berks Station, MFL","36th & Sansom",3
"11503","Broad & Carpenter","36th & Sansom",3
"11504","Broad & Cecil B Moore","36th & Sansom",0
"11505","Broad & Christian","36th & Sansom",92
"11506","Broad & Diamond","36th & Sansom",4
"11507","Broad & Federal","36th & Sansom",40
"11508","Broad & Girard","36th & Sansom",14
"11509","Broad & Oxford","36th & Sansom",15
"11510","Broad & Passyunk","36th & Sansom",84
"11511","Broad & Pattison, BSL","36th & Sansom",2
"11512","Broad & Ritner","36th & Sansom",3
"11513","Corinthian & Poplar","36th & Sansom",2
"11514","Crescent Park","36th & Sansom",0
"11515","Darien & Catharine","36th & Sansom",42
"11516","Del. River Trail & Penn St.","36th & Sansom",6
"11517","Dornsife Center","36th & Sansom",589
"11518","Fairmount & Ridge","36th & Sansom",42
"11519","Foglietta Plaza","36th & Sansom",23
"11520","Frankford & Belgrade","36th & Sansom",6
"11521","Free Library of Philadelphia - Central Library","36th & Sansom",24
"11522","Front & Carpenter","36th & Sansom",22
"11523","Girard & Hutchinson","36th & Sansom",1
"11524","Girard Station, MFL","36th & Sansom",8
"11525","Grays Ferry & Pemberton","36th & Sansom",296
"11526","Health Sciences Drive","36th & Sansom",38
"11527","Independence Mall, NPS","36th & Sansom",41
"11528","Moyamensing & Tasker","36th & Sansom",37
"11529","Municipal Services Building Plaza","36th & Sansom",59
"11530","Parkside & Belmont, Case Building","36th & Sansom",31
"11531","ParkWest Town Center","36th & Sansom",10
"11532","Penn Treaty Park","36th & Sansom",0
"11533","Pennsylvania & Fairmount Perelman Building","36th & Sansom",279
"11534","Pennsylvania Convention Center","36th & Sansom",74
"11535","Philadelphia Museum of Art","36th & Sansom",942
"11536","Philadelphia Zoo","36th & Sansom",32
"11537","Point Breeze & Tasker","36th & Sansom",105
"11538","Race Street Pier","36th & Sansom",34
"11539","Ridge & Master","36th & Sansom",4
"11540","Rittenhouse Square","36th & Sansom",438
"11541","Rodin Museum","36th & Sansom",255
"11542","Schuylkill Banks Pergola","36th & Sansom",27
"11543","Spring Garden Station, BSL","36th & Sansom",66
"11544","Spring Garden Station, MFL","36th & Sansom",0
"11545","Temple University Station","36th & Sansom",10
"11546","The Children's Hospital of Philadelphia (CHOP)","36th & Sansom",202
"11547","The Children's Hospital of Philadelphia, Osler Circle","36th & Sansom",70
"11548","Thompson & Palmer, Adaire School","36th & Sansom",1
"11549","University City Station","36th & Sansom",148
"11550","Welcome Park, NPS","36th & Sansom",32
"11551","10th & Chestnut","38th & Market",30
"11552","10th & Federal","38th & Market",20
"11553","11th & Market","38th & Market",46
"11554","11th & Pine, Kahn Park","38th & Market",22
"11555","11th & Poplar, John F. Street Community Center","38th & Market",1
"11556","11th & Reed","38th & Market",22
"11557","11th & South","38th & Market",36
"11558","11th & Washington","38th & Market",10
"11559","12th & Callowhill","38th & Market",12
"11560","12th & Chestnut","38th & Market",30
"11561","12th & Filbert","38th & Market",24
"11562","12th & Normandy","38th & Market",0
"11563","12th & Passyunk","38th & Market",9
"11564","13th & Locust","38th & Market",55
"11565","13th & Montgomery","38th & Market",13
"11566","15th & Castle, DiSilvestro Playground","38th & Market",40
"11567","15th & Kitty Hawk","38th & Market",2
"11568","15th & Market","38th & Market",93
"11569","15th & South","38th & Market",32
"11570","15th & Spruce","38th & Market",103
"11571","16th & Arch","38th & Market",5
"11572","16th & Chestnut","38th & Market",98
"11573","17th & Girard","38th & Market",3
"11574","17th & Green","38th & Market",11
"11575","17th & JFK","38th & Market",9
"11576","17th & Locust","38th & Market",120
"11577","17th & Pine","38th & Market",60
"11578","17th & Sansom","38th & Market",75
"11579","17th & Spring Garden","38th & Market",32
"11580","18th & Chestnut","38th & Market",40
"11581","18th & Christian","38th & Market",13
"11582","18th & Fernon, Aquinas Center","38th & Market",20
"11583","18th & JFK","38th & Market",89
"11584","18th & JFK Curbside","38th & Market",43
"11585","18th & Washington, Chew Playground","38th & Market",72
"11586","19th & Girard, PTTI","38th & Market",6
"11587","19th & Lombard","38th & Market",176
"11588","19th & Market","38th & Market",169
"11589","20th & Fairmount","38th & Market",77
"11590","20th & Market","38th & Market",226
"11591","20th & Race","38th & Market",38
"11592","20th & Sansom","38th & Market",346
"11593","21st & Catharine","38th & Market",506
"11594","21st & Winter, Franklin Institute","38th & Market",25
"11595","22nd & Cecil B. Moore","38th & Market",4
"11596","22nd & Federal","38th & Market",32
"11597","23rd & Fairmount","38th & Market",47
"11598","23rd & Market","38th & Market",299
"11599","23rd & South","38th & Market",386
"11600","24th & Cecil B. Moore, Cecil B. Moore Library","38th & Market",0
"11601","24th & Race SRT","38th & Market",33
"11602","24th & Sansom","38th & Market",91
"11603","25th & Diamond","38th & Market",3
"11604","25th & Locust","38th & Market",167
"11605","27th & Girard","38th & Market",64
"11606","27th & Master, Athletic Recreation Center","38th & Market",6
"11607","27th & South","38th & Market",155
"11608","29th & Dauphin","38th & Market",3
"11609","29th & Diamond","38th & Market",0
"11610","2nd & Fairmount","38th & Market",7
"11611","2nd & Germantown","38th & Market",0
"11612","2nd & Market","38th & Market",25
"11613","2nd & Norris","38th & Market",0
"11614","2nd & Race","38th & Market",6
"11615","2nd & South","38th & Market",10
"11616","30th Street Station East","38th & Market",86
"11617","31st & Girard","38th & Market",46
"11618","32nd & Baring, Drexel Park","38th & Market",90
"11619","33rd & Dauphin","38th & Market",15
"11620","33rd & Diamond","38th & Market",10
"11621","33rd & Market","38th & Market",312
"11622","33rd & Reservoir","38th & Market",20
"11623","34th & Chestnut","38th & Market",184
"11624","34th & Mantua","38th & Market",25
"11625","34th & Spruce","38th & Market",193
"11626","36th & Sansom","38th & Market",302
"11627","38th & Market","38th & Market",1172
"11628","38th & Powelton","38th & Market",432
"11629","38th & Spruce","38th & Market",220
"11630","39th & Mt. Vernon, Mantua Haverford Community Center","38th & Market",103
"11631","3rd & Girard","38th & Market",4
"11632","40th & Baltimore, Trolley Portal","38th & Market",87
"11633","40th & Spruce","38th & Market",352
"11634","40th Street Station, MFL","38th & Market",134
"11635","42nd & Lancaster","38th & Market",276
"11636","43rd & Chester, Clark Park","38th & Market",277
"11637","44th & Walnut","38th & Market",383
"11638","45th & Baltimore","38th & Market",79
"11639","46th Street Station, MFL","38th & Market",399
"11640","48th & Spruce","38th & Market",327
"11641","4th & Bainbridge","38th & Market",25
"11642","4th & Christian","38th & Market",11
"11643","4th & Walnut, NPS","38th & Market",14
"11644","4th & Washington","38th & Market",10
"11645","6th & Berks","38th & Market",32
"11646","6th & Fairmount","38th & Market",4
"11647","6th & Race","38th & Market",14
"11648","7th & Fitzwater","38th & Market",63
"11649","8th & Market","38th & Market",33
"11650","8th & Mifflin, Bok Building","38th & Market",4
"11651","9th & Arch","38th & Market",24
"11652","9th & Locust","38th & Market",61
"11653","9th & Spring Garden","38th & Market",9
"11654","Amtrak 30th Street Station","38th & Market",380
"11655","Barnes Foundation","38th & Market",25
"11656","Berks Station, MFL","38th & Market",1
"11657","Broad & Carpenter","38th & Market",6
"11658","Broad & Cecil B Moore","38th & Market",0
"11659","Broad & Christian","38th & Market",48
"11660","Broad & Diamond","38th & Market",11
"11661","Broad & Federal","38th & Market",21
"11662","Broad & Girard","38th & Market",15
"11663","Broad & Oxford","38th & Market",27
"11664","Broad & Passyunk","38th & Market",14
"11665","Broad & Pattison, BSL","38th & Market",2
"11666","Broad & Ritner","38th & Market",27
"11667","Corinthian & Poplar","38th & Market",7
"11668","Crescent Park","38th & Market",0
"11669","Darien & Catharine","38th & Market",111
"11670","Del. River Trail & Penn St.","38th & Market",2
"11671","Dornsife Center","38th & Market",227
"11672","Fairmount & Ridge","38th & Market",12
"11673","Foglietta Plaza","38th & Market",8
"11674","Frankford & Belgrade","38th & Market",9
"11675","Free Library of Philadelphia - Central Library","38th & Market",22
"11676","Front & Carpenter","38th & Market",21
"11677","Girard & Hutchinson","38th & Market",3
"11678","Girard Station, MFL","38th & Market",4
"11679","Grays Ferry & Pemberton","38th & Market",170
