"","start_station","end_station","volume"
"218","2nd & Race","10th & Federal",36
"219","2nd & South","10th & Federal",103
"220","30th Street Station East","10th & Federal",376
"221","31st & Girard","10th & Federal",36
"222","32nd & Baring, Drexel Park","10th & Federal",1
"223","33rd & Dauphin","10th & Federal",3
"224","33rd & Diamond","10th & Federal",1
"225","33rd & Market","10th & Federal",36
"226","33rd & Reservoir","10th & Federal",4
"227","34th & Chestnut","10th & Federal",3
"228","34th & Mantua","10th & Federal",1
"229","34th & Spruce","10th & Federal",9
"230","36th & Sansom","10th & Federal",40
"231","38th & Market","10th & Federal",21
"232","38th & Powelton","10th & Federal",10
"233","38th & Spruce","10th & Federal",20
"234","39th & Mt. Vernon, Mantua Haverford Community Center","10th & Federal",7
"235","3rd & Girard","10th & Federal",18
"236","40th & Baltimore, Trolley Portal","10th & Federal",7
"237","40th & Spruce","10th & Federal",26
"238","40th Street Station, MFL","10th & Federal",4
"239","42nd & Lancaster","10th & Federal",1
"240","43rd & Chester, Clark Park","10th & Federal",6
"241","44th & Walnut","10th & Federal",6
"242","45th & Baltimore","10th & Federal",6
"243","46th Street Station, MFL","10th & Federal",101
"244","48th & Spruce","10th & Federal",17
"245","4th & Bainbridge","10th & Federal",315
"246","4th & Christian","10th & Federal",137
"247","4th & Walnut, NPS","10th & Federal",153
"248","4th & Washington","10th & Federal",133
"249","6th & Berks","10th & Federal",9
"250","6th & Fairmount","10th & Federal",113
"251","6th & Race","10th & Federal",83
"252","7th & Fitzwater","10th & Federal",159
"253","8th & Market","10th & Federal",145
"254","8th & Mifflin, Bok Building","10th & Federal",177
"255","9th & Arch","10th & Federal",116
"256","9th & Locust","10th & Federal",721
"257","9th & Spring Garden","10th & Federal",139
"258","Amtrak 30th Street Station","10th & Federal",74
"259","Barnes Foundation","10th & Federal",39
"260","Berks Station, MFL","10th & Federal",10
"261","Broad & Carpenter","10th & Federal",11
"262","Broad & Cecil B Moore","10th & Federal",1
"263","Broad & Christian","10th & Federal",150
"264","Broad & Diamond","10th & Federal",6
"265","Broad & Federal","10th & Federal",381
"266","Broad & Girard","10th & Federal",12
"267","Broad & Oxford","10th & Federal",26
"268","Broad & Passyunk","10th & Federal",141
"269","Broad & Pattison, BSL","10th & Federal",43
"270","Broad & Ritner","10th & Federal",65
"271","Corinthian & Poplar","10th & Federal",1
"272","Crescent Park","10th & Federal",6
"273","Darien & Catharine","10th & Federal",134
"274","Del. River Trail & Penn St.","10th & Federal",40
"275","Dornsife Center","10th & Federal",6
"276","Fairmount & Ridge","10th & Federal",20
"277","Foglietta Plaza","10th & Federal",100
"278","Frankford & Belgrade","10th & Federal",27
"279","Free Library of Philadelphia - Central Library","10th & Federal",29
"280","Front & Carpenter","10th & Federal",49
"281","Girard & Hutchinson","10th & Federal",125
"282","Girard Station, MFL","10th & Federal",34
"283","Grays Ferry & Pemberton","10th & Federal",34
"284","Health Sciences Drive","10th & Federal",4
