"","Station_ID","Station_Name","Go_live_date","Status","start_lat","start_lon"
"134",3168,"20th & Sansom","12/13/2017","Active",39.95134,-75.173943
"135",3169,"2nd & Race","9/27/2017","Active",39.953819,-75.142632
"136",3170,"Grays Ferry & Pemberton","6/5/2017","Active",39.94426,-75.181343
"137",3181,"Crescent Park","6/26/2018","Active",39.89629,-75.17514
"138",3182,"17th & Sansom","10/17/2018","Active",39.950809,-75.169533
"139",3183,"15th & Kitty Hawk","6/19/2018","Active",39.889938,-75.176788
"140",3184,"Health Sciences Drive","11/1/2018","Active",39.945621,-75.195618
"141",3184,"Health Sciences Drive","11/1/2018","Active",39.945728,-75.195511
"142",3185,"11th & Market","9/28/2018","Active",-39.951759,-75.158318
"143",3185,"11th & Market","9/28/2018","Active",39.951691,-75.158882
"144",3186,"12th & Normandy","6/19/2018","Active",39.89307,-75.171677
"145",3187,"20th & Race","9/25/2018","Active",39.957249,-75.172318
"146",3188,"Broad & Pattison, BSL","6/19/2018","Active",39.904709,-75.173401
"147",3190,"17th & Locust","9/14/2018","Active",39.948921,-75.169907
"148",3192,"2nd & Fairmount","8/14/2018","Active",39.96207,-75.141113
"149",3195,"18th & JFK Curbside","4/6/2019","Inactive",39.954102,-75.169647
"150",3196,"25th & Diamond","4/18/2019","Active",39.987171,-75.174767
"151",3197,"Broad & Ritner","5/14/2019","Active",39.92083,-75.170326
"152",3200,"Ridge & Master","6/27/2019","Active",39.97583,-75.168457
"153",3201,"16th & Arch","9/10/2019","Active",39.955231,-75.166199
"154",3202,"16th & Chestnut","8/30/2019","Active",39.95134,-75.16758
"155",3203,"18th & Christian","11/7/2019","Active",39.940769,-75.172272
"156",3204,"17th & Green","11/14/2019","Active",39.964371,-75.165817
"157",3205,"17th & JFK","11/23/2019","Active",39.954048,-75.167831
"158",3206,"18th & Chestnut","8/29/2019","Active",39.95174,-75.170631
"159",3207,"34th & Chestnut","5/20/2020","Active",39.954411,-75.192001
"160",3208,"34th & Spruce","10/5/2019","Active",39.950481,-75.193237
"161",3209,"45th & Baltimore","9/11/2019","Active",39.949001,-75.212784
"162",3210,"Broad & Diamond","8/28/2019","Active",39.984921,-75.156677
"163",3211,"Corinthian & Poplar","2/6/2020","Active",39.971722,-75.170601
"164",3212,"Schuylkill Banks Pergola","10/9/2020","Active",39.963791,-75.18158
"165",3213,"Broad & Carpenter","9/16/2020","Active",39.938869,-75.166634
"166",3214,"Broad & Cecil B Moore","9/22/2020","Active",39.978909,-75.157799
"167",3226,"2nd & Norris","12/24/2020","Active",39.98101,-75.137207
"168",90007,NA,NA,NA,NA,NA
"169",90018,NA,NA,NA,NA,NA
"170",90010,NA,NA,NA,NA,NA
"171",3042,NA,NA,NA,39.949421,-75.16613
